iter	MultiClass
0	1.035573027
1	0.984510429
2	0.9438545581
3	0.9108444357
4	0.8827805719
5	0.8583392709
6	0.8377771134
7	0.8196423523
8	0.8047900876
9	0.7911418376
10	0.7798741913
11	0.7701553805
12	0.7615696914
13	0.7532954685
14	0.7466779141
15	0.7400193836
16	0.7351310555
17	0.7300027924
18	0.7257560892
19	0.7222222474
20	0.7184077893
21	0.7155166686
22	0.7126673524
23	0.7103821313
24	0.708164128
25	0.7061200159
26	0.7047686749
27	0.7032051938
28	0.7017517512
29	0.7002687419
30	0.6989566268
31	0.6977626181
32	0.6967423702
33	0.6956948693
34	0.6949845303
35	0.6937406756
36	0.6929219589
37	0.6922045762
38	0.6917027699
39	0.691126667
40	0.69050101
41	0.6899955719
42	0.6894358955
43	0.6889403861
44	0.6883419504
45	0.6879445495
46	0.6875962512
47	0.6870294995
48	0.6865687022
49	0.6860709491
50	0.6856767475
51	0.6851969665
52	0.6847484622
53	0.6843442821
54	0.6840097686
55	0.6836379918
56	0.6832693017
57	0.6829799306
58	0.6826013647
59	0.6824035668
60	0.6820954012
61	0.6817790789
62	0.6814552622
63	0.6809821968
64	0.6807617079
65	0.680376537
66	0.680154667
67	0.6799034939
68	0.6794185507
69	0.6791573135
70	0.6789762568
71	0.6787627673
72	0.678533295
73	0.6781937071
74	0.677931336
75	0.6777580263
76	0.6771926371
77	0.6769657941
78	0.6765736203
79	0.6762675038
80	0.6759778394
81	0.6756255688
82	0.6752012865
83	0.6748960065
84	0.6746050622
85	0.6743846684
86	0.6740897269
87	0.6737414578
88	0.6735244539
89	0.6731714264
90	0.6729337837
91	0.6726104542
92	0.6723231336
93	0.6719644418
94	0.671754818
95	0.6715589183
96	0.6713649365
97	0.671115605
98	0.6709172644
99	0.6707459258
100	0.6704180258
101	0.6700041391
102	0.6698377244
103	0.6696464038
104	0.6693712477
105	0.669093154
106	0.6688780615
107	0.6686509881
108	0.6684164813
109	0.6681988226
110	0.6679878282
111	0.6676566291
112	0.6675030661
113	0.6673150137
114	0.6671117792
115	0.6669466422
116	0.66672117
117	0.6665628605
118	0.6663623055
119	0.6659973712
120	0.6658751188
121	0.6657386297
122	0.6653400031
123	0.6650959307
124	0.6649097718
125	0.6645310163
126	0.6641659446
127	0.6639091142
128	0.6636572358
129	0.6631861096
130	0.6629205389
131	0.6626620925
132	0.6622765019
133	0.661989545
134	0.6617907002
135	0.661543613
136	0.6612064063
137	0.6610180343
138	0.660762286
139	0.6605787996
140	0.6603033482
141	0.6601894124
