iter	Passed	Remaining
0	184	183875
1	220	110114
2	249	83024
3	281	69971
4	310	61803
5	332	55085
6	369	52482
7	396	49162
8	424	46737
9	445	44065
10	464	41796
11	484	39877
12	501	38111
13	524	36955
14	546	35887
15	577	35546
16	599	34650
17	627	34255
18	654	33784
19	675	33093
20	695	32402
21	721	32064
22	745	31674
23	775	31553
24	797	31112
25	825	30916
26	844	30421
27	866	30081
28	884	29614
29	906	29314
30	924	28909
31	945	28591
32	976	28628
33	997	28347
34	1018	28073
35	1039	27829
36	1056	27502
37	1078	27301
38	1097	27047
39	1117	26829
40	1137	26596
41	1155	26351
42	1183	26336
43	1211	26319
44	1242	26370
45	1265	26254
46	1285	26063
47	1308	25951
48	1329	25812
49	1350	25655
50	1378	25654
51	1410	25717
52	1428	25529
53	1450	25405
54	1471	25281
55	1492	25152
56	1516	25084
57	1541	25032
58	1563	24931
59	1591	24933
60	1613	24833
61	1637	24776
62	1657	24654
63	1675	24503
64	1698	24432
65	1719	24338
66	1737	24197
67	1756	24075
68	1787	24115
69	1812	24083
70	1831	23962
71	1849	23838
72	1869	23735
73	1887	23616
74	1911	23572
75	1932	23494
76	1952	23402
77	1978	23387
78	2006	23386
79	2028	23331
80	2050	23260
81	2072	23201
82	2094	23145
83	2118	23099
84	2140	23046
85	2166	23024
86	2190	22986
87	2221	23022
88	2250	23038
89	2276	23015
90	2297	22954
91	2318	22884
92	2346	22882
93	2369	22840
94	2403	22900
95	2434	22925
96	2458	22889
97	2479	22820
98	2503	22780
99	2525	22726
100	2545	22659
101	2564	22579
102	2593	22581
103	2610	22492
104	2631	22434
105	2652	22373
106	2678	22352
107	2700	22305
108	2724	22273
109	2746	22219
110	2767	22166
111	2800	22204
112	2823	22164
113	2845	22111
114	2867	22070
115	2889	22018
116	2913	21991
117	2937	21953
118	2962	21930
119	2987	21907
120	3016	21910
121	3036	21849
122	3064	21847
123	3086	21802
124	3110	21776
125	3135	21750
126	3160	21723
127	3183	21686
128	3214	21703
129	3240	21683
130	3263	21650
131	3285	21603
132	3308	21564
133	3331	21531
134	3352	21481
135	3374	21435
136	3400	21421
137	3428	21417
138	3449	21369
139	3475	21348
140	3498	21313
141	3519	21263
142	3541	21226
143	3563	21185
144	3595	21203
145	3623	21195
146	3645	21152
147	3691	21251
148	3746	21397
149	3772	21379
150	3806	21400
151	3846	21457
152	3866	21406
153	3891	21379
154	3911	21322
155	3931	21273
156	3952	21224
157	3975	21186
158	4022	21277
159	4057	21302
160	4080	21264
161	4103	21224
162	4127	21192
163	4152	21167
164	4174	21125
165	4198	21092
166	4242	21160
167	4277	21182
168	4301	21151
169	4330	21143
170	4357	21126
171	4381	21092
172	4412	21091
173	4451	21133
174	4490	21168
175	4514	21138
176	4537	21097
177	4558	21049
178	4580	21008
179	4598	20948
180	4623	20919
181	4644	20872
182	4660	20808
183	4683	20769
184	4707	20736
185	4727	20687
186	4747	20640
187	4763	20574
188	4784	20530
189	4804	20480
190	4835	20482
191	4857	20443
192	4886	20430
193	4909	20396
194	4934	20369
195	4956	20331
196	4984	20315
197	5006	20279
198	5035	20266
199	5056	20225
200	5081	20201
201	5110	20188
202	5133	20155
203	5158	20127
204	5182	20099
205	5208	20077
206	5245	20095
207	5275	20086
208	5299	20058
209	5325	20033
210	5352	20013
211	5377	19987
212	5403	19964
213	5432	19954
214	5454	19915
215	5483	19904
216	5509	19881
217	5535	19856
218	5557	19818
219	5582	19790
220	5606	19761
221	5639	19762
222	5683	19802
223	5718	19810
224	5750	19808
225	5781	19799
226	5812	19792
227	5851	19814
228	5897	19854
229	5921	19823
230	5945	19791
231	5980	19798
232	6004	19767
233	6032	19748
234	6073	19772
235	6110	19782
236	6137	19759
237	6165	19739
238	6187	19701
239	6213	19675
240	6245	19670
241	6284	19683
242	6314	19669
243	6336	19632
244	6362	19605
245	6389	19583
246	6412	19547
247	6433	19506
248	6462	19491
249	6491	19474
250	6518	19451
251	6542	19419
252	6562	19376
253	6582	19333
254	6607	19302
255	6631	19273
256	6660	19254
257	6685	19226
258	6708	19192
259	6734	19168
260	6762	19147
261	6788	19120
262	6808	19080
263	6827	19033
264	6850	18999
265	6883	18994
266	6911	18973
267	6935	18942
268	6958	18910
269	6981	18876
270	7007	18850
271	7029	18815
272	7054	18786
273	7082	18765
274	7112	18751
275	7141	18732
276	7164	18700
277	7189	18672
278	7209	18631
279	7232	18598
280	7268	18598
281	7298	18581
282	7386	18713
283	7410	18683
284	7435	18654
285	7466	18639
286	7512	18664
287	7539	18638
288	7566	18614
289	7593	18590
290	7619	18564
291	7640	18526
292	7667	18501
293	7703	18497
294	7729	18471
295	7751	18436
296	7773	18399
297	7802	18380
298	7835	18369
299	7884	18396
300	7931	18419
301	7971	18424
302	8003	18411
303	8034	18395
304	8065	18378
305	8110	18394
306	8136	18365
307	8158	18330
308	8184	18303
